,crystal_name,RealCrystalName,smiles,new_smiles,alternate_name,site_name,pdb_entry
78,D68EV3CPROA-x1264_0B,D68EV3CPROA-x1264,FC(F)(F)c1ccccc1C(=O)N2CCNC(=O)C2,FC(F)(F)c1ccccc1C(=O)N2CCNC(=O)C2,Z85249949,5 - Random locations,None
79,D68EV3CPROA-x1285_0B,D68EV3CPROA-x1285,OC1CCN(Cc2ccsc2)CC1,OC1CCN(Cc2ccsc2)CC1,Z905434478,2 - R-19 & Y-48 pocket (Chain B only),None
80,D68EV3CPROA-x1285_1B,D68EV3CPROA-x1285,OC1CCN(Cc2ccsc2)CC1,OC1CCN(Cc2ccsc2)CC1,Z905434478,3 - NCS packing interface,None
81,D68EV3CPROA-x1300_0A,D68EV3CPROA-x1300,CCOC(=O)c1cn[nH]c1,CCOC(=O)c1cn[nH]c1,Z975817026,6 - Chain B Catalytic site,None
82,D68EV3CPROA-x1305_0B,D68EV3CPROA-x1305,CC(C)c1nc(no1)C2CCCN2,CC(C)c1nc(no1)C2CCCN2,Z979742720,4 - C60 both locations,None
83,D68EV3CPROA-x1315_0A,D68EV3CPROA-x1315,Cc1nnc2CNCCn12,Cc1nnc2CNCCn12,Z992916756,4 - C60 both locations,None
84,D68EV3CPROA-x1315_0B,D68EV3CPROA-x1315,Cc1nnc2CNCCn12,Cc1nnc2CNCCn12,Z992916756,5 - Random locations,None
85,D68EV3CPROA-x1317_0B,D68EV3CPROA-x1317,CC1CNCCN1CCO,CC1CNCCN1CCO,Z995013488,4 - C60 both locations,None
86,D68EV3CPROA-x1329_0A,D68EV3CPROA-x1329,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O,C[C@H]1N(S(=O)(C)=O)CCC[C@H]1C(NC)=O,POB0014,5 - Random locations,None
87,D68EV3CPROA-x1332_0A,D68EV3CPROA-x1332,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,POB0066,2 - R-19 & Y-48 pocket (Chain B only),None
88,D68EV3CPROA-x1332_1A,D68EV3CPROA-x1332,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,O=C([C@@H]1[C@@H](C2=CC=CC=C2)CN(C(C)=O)C1)O,POB0066,5 - Random locations,None
89,D68EV3CPROA-x1339_0A,D68EV3CPROA-x1339,CC(=O)N1[C@@H](CC[C@@H]1C)C(=O)OC,CC(=O)N1[C@@H](CC[C@@H]1C)C(=O)OC,POB0050,2 - R-19 & Y-48 pocket (Chain B only),None
90,D68EV3CPROA-x1374_0A,D68EV3CPROA-x1374,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,POB0008,5 - Random locations,None
91,D68EV3CPROA-x1374_1A,D68EV3CPROA-x1374,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,CC1(C(OC)=O)N(S(=O)(C)=O)CCC1,POB0008,5 - Random locations,None
92,D68EV3CPROA-x1379_0A,D68EV3CPROA-x1379,CC(C=C1)=CC=C1C2(C(OC)=O)CNCC2,CC(C=C1)=CC=C1C2(C(OC)=O)CNCC2,POB0095,6 - Chain B Catalytic site,None
93,D68EV3CPROA-x1388_0B,D68EV3CPROA-x1388,O=C1NC2=C(C=CC=C2)CC31NCCC3,O=C1NC2=C(C=CC=C2)CC31NCCC3,POB0120,5 - Random locations,None
94,D68EV3CPROA-x1399_0A,D68EV3CPROA-x1399,C[C@@H]1[C@@H](CO)N(S(C)(=O)=O)CCC1,C[C@@H]1[C@@H](CO)N(S(C)(=O)=O)CCC1,POB0026,4 - C60 both locations,None
95,D68EV3CPROA-x1410_0A,D68EV3CPROA-x1410,OC(C1(C2=CC=C(C)C=C2)CN(C(C)=O)CCC1)=O,OC(C1(C2=CC=C(C)C=C2)CN(C(C)=O)CCC1)=O,POB0083,5 - Random locations,None
96,D68EV3CPROA-x1427_0B,D68EV3CPROA-x1427,BrC1=CON=C1,BrC1=CON=C1,NCL-00023820,5 - Random locations,None
97,D68EV3CPROA-x1444_0B,D68EV3CPROA-x1444,OC1=C(C#N)C=C(Br)C=C1,OC1=C(C#N)C=C(Br)C=C1,NCL-00024661,2 - R-19 & Y-48 pocket (Chain B only),None
