,smiles,cmpd_id,fragmentA,fragmentB,sucos,int_count
70,CCS(=O)(=O)NCc1cccnc1-n1ccnc1,ENAMINE:Z1103264683,x1498_0A,x1140_0A,0.6317737409734171,5
71,CCc1nocc1C(=O)NCCc1nnc2ccccn12,ENAMINE:Z2619260146,x1052_1A,x1594_0A,0.63144184762634,3
72,Cc1nnc2c(NCc3ccc4c(c3)OCO4)nccn12,ENAMINE:Z1230717304,x0147_0A,x1919_0A,0.6313241191629781,5
73,OC[C@@H](c1ccc2c(c1)OCO2)N(CCc1nnc2ccccn12)C[C@H](O)c1ccc2c(c1)OCO2,MOLPORT:009-117-950,x1594_0A,x1919_0A,0.6312944036349302,4
74,O=C(CSc1nnc2ccccn12)c1ccc2c(c1)OCO2,MOLPORT:000-633-232,x1140_0A,x1594_0A,0.6284434732087766,4
75,O=C(NCCc1nnc2ccccn12)c1ccc2c(c1)OCO2,"ENAMINE:Z137019992,MOLPORT:002-662-919",x1594_0A,x1919_0A,0.6284276348640369,2
76,CC(C)C[C@H](NC(=O)c1ccc2c(c1)OCO2)c1nnc2ccccn12,MOLPORT:006-319-033,x1140_0A,x1594_0A,0.6283764785542405,4
77,C[C@H](CNC(=O)NCc1ncccc1O)N1CCCCC1,ENAMINE:Z1941301205,x1498_0A,x1083_0A,0.6266981860411498,3
78,Cc1cc2c(cc1NC(=O)NCc1ccon1)OCO2,ENAMINE:Z1637914452,x1140_0A,x1052_1A,0.6259710016690627,5
79,Cc1nnc2c(N(C)CCc3ccc4c(c3)OCO4)nccn12,ENAMINE:Z2861823966,x0147_0A,x2021_0A,0.625849659445346,7
80,O=C(Nc1ccc(-c2ccon2)cc1)c1cn2cnnc2cn1,ENAMINE:PV-003040579102,x0147_0A,x1052_1A,0.6255847717639116,4
81,Cc1cc(C(=O)N[C@H](C)[C@H](C)NCc2ccccn2)no1,ENAMINE:PV-000980621569,x1052_1A,x1498_0A,0.6245403578739497,4
82,O=C(CSc1nnc2ccccn12)Nc1ccc2c(c1)OCO2,MOLPORT:000-224-370,x1594_0A,x1919_0A,0.624381146954429,3
83,Cc1cc2c(cc1NC(=O)Cc1ccon1)OCO2,ENAMINE:Z1635597094,x1140_0A,x1052_1A,0.6241861914580061,5
84,O=C(NCCc1nnc2ccccn12)C1(c2ccno2)CCC1,ENAMINE:Z4404211737,x1594_0A,x1052_1A,0.6233758478071635,4
85,O=C(NCc1ccc2c(c1)OCO2)c1ccc2nncn2c1,ENAMINE:Z978911310,x1594_0A,x2021_0A,0.6228226566480438,7
86,O=C(Nc1ccno1)c1ccc2nnc(C3CC3)n2c1,ENAMINE:PV-002903318698,x1594_0A,x1052_1A,0.6226616577319122,2
87,O=C(CCCN1CCCCC1)N1CCC(N2CCC2)CC1,ENAMINE:Z2915181599,x1071_0A,x1083_0A,0.6223226013735501,4
88,O=C(NCc1ccc2c(c1)OCO2)Nc1ccc(N2CCCC2)nc1,MOLPORT:009-308-590,x1498_0A,x2021_0A,0.621703118053445,9
89,O=C(NCc1ccc2c(c1)OCO2)c1ccc2nncn2c1,ENAMINE:Z978911310,x1594_0A,x1919_0A,0.6212583490176838,6
